0	0	1.39
0.1	0	106.231
0.2	0	128.107
0.3	0	274.393
0.4	0	301.147
0.5	0	207.44
0.6	0	417.755
0.7	0	205.146
0.8	0	132.248
0.9	0	320.61
1	0	-133.958
1.1	0	-0.240059
1.2	0	37.7444
1.3	0	-476.815
1.4	0	-36.7091
1.5	0	-261.993
1.6	0	-555.218
1.7	0	99.94
1.8	0	-420.64
1.9	0	-260.24
2	0	326.938
2.1	0	-390.494
2.2	0	274.759
2.3	0	442.261
2.4	0	-237.805
2.5	0	753.202
2.6	0	272.675
2.7	0	-61.5641
2.8	0	901.04
2.9	0	-174.598
3	0	94.745
3.1	0	633.018
3.2	0	-674.197
3.3	0	260.236
3.4	0	92.7214
3.5	0	-902.076
3.6	0	469.837
3.7	0	-448.711
3.8	0	-643.145
3.9	0	677.986
4	0	-755.041
0	0.1	102.394
0.1	0.1	207.235
0.2	0.1	229.111
0.3	0.1	375.397
0.4	0.1	402.151
0.5	0.1	308.444
0.6	0.1	518.759
0.7	0.1	306.15
0.8	0.1	233.252
0.9	0.1	421.614
1	0.1	-32.9537
1.1	0.1	100.764
1.2	0.1	138.748
1.3	0.1	-375.811
1.4	0.1	64.2948
1.5	0.1	-160.989
1.6	0.1	-454.214
1.7	0.1	200.944
1.8	0.1	-319.637
1.9	0.1	-159.236
2	0.1	427.942
2.1	0.1	-289.49
2.2	0.1	375.763
2.3	0.1	543.265
2.4	0.1	-136.801
2.5	0.1	854.206
2.6	0.1	373.679
2.7	0.1	39.4398
2.8	0.1	1002.04
2.9	0.1	-73.5936
3	0.1	195.749
3.1	0.1	734.022
3.2	0.1	-573.194
3.3	0.1	361.24
3.4	0.1	193.725
3.5	0.1	-801.072
3.6	0.1	570.841
3.7	0.1	-347.707
3.8	0.1	-542.141
3.9	0.1	778.99
4	0.1	-654.037
0	0.2	189.659
0.1	0.2	294.501
0.2	0.2	316.377
0.3	0.2	462.662
0.4	0.2	489.417
0.5	0.2	395.709
0.6	0.2	606.025
0.7	0.2	393.415
0.8	0.2	320.517
0.9	0.2	508.879
1	0.2	54.3118
1.1	0.2	188.029
1.2	0.2	226.014
1.3	0.2	-288.546
1.4	0.2	151.56
1.5	0.2	-73.7237
1.6	0.2	-366.949
1.7	0.2	288.209
1.8	0.2	-232.371
1.9	0.2	-71.9703
2	0.2	515.207
2.1	0.2	-202.224
2.2	0.2	463.028
2.3	0.2	630.531
2.4	0.2	-49.5355
2.5	0.2	941.472
2.6	0.2	460.944
2.7	0.2	126.705
2.8	0.2	1089.31
2.9	0.2	13.6719
3	0.2	283.014
3.1	0.2	821.288
3.2	0.2	-485.928
3.3	0.2	448.506
3.4	0.2	280.991
3.5	0.2	-713.806
3.6	0.2	658.107
3.7	0.2	-260.441
3.8	0.2	-454.875
3.9	0.2	866.255
4	0.2	-566.771
0	0.3	297.995
0.1	0.3	402.837
0.2	0.3	424.713
0.3	0.3	570.998
0.4	0.3	597.753
0.5	0.3	504.045
0.6	0.3	714.361
0.7	0.3	501.751
0.8	0.3	428.853
0.9	0.3	617.215
1	0.3	162.648
1.1	0.3	296.365
1.2	0.3	334.35
1.3	0.3	-180.21
1.4	0.3	259.896
1.5	0.3	34.6123
1.6	0.3	-258.613
1.7	0.3	396.545
1.8	0.3	-124.035
1.9	0.3	36.3657
2	0.3	623.543
2.1	0.3	-93.8884
2.2	0.3	571.364
2.3	0.3	738.867
2.4	0.3	58.8005
2.5	0.3	1049.81
2.6	0.3	569.28
2.7	0.3	235.041
2.8	0.3	1197.64
2.9	0.3	122.008
3	0.3	391.35
3.1	0.3	929.624
3.2	0.3	-377.592
3.3	0.3	556.842
3.4	0.3	389.327
3.5	0.3	-605.471
3.6	0.3	766.443
3.7	0.3	-152.105
3.8	0.3	-346.539
